cidade,uf,regiao,codmun,pop_dou_2017,Jornal,Online,Rádio,Revista,Televisão,tipos_existentes,total_fontes,fontes_100k_hab
ALMADINA,BA,Nordeste,2900900,5985,0,0,0,0,0,Nenhum,0,0
ALMAS,TO,Norte,1700400,7273,0,0,0,0,0,Nenhum,0,0
ALMEIRIM,PA,Norte,1500503,33195,0,0,0,0,1,Um,1,3.01250188281368
ALMENARA,MG,Sudeste,3101706,41794,3,0,1,0,0,Vários,4,9.57075178255252
ALMINO AFONSO,RN,Nordeste,2400604,4854,0,0,0,0,1,Um,1,20.6015657189946
ALMIRANTE TAMANDARÉ,PR,Sul,4100400,115364,1,2,2,0,0,Vários,5,4.33410769390798
ALMIRANTE TAMANDARÉ DO SUL,RS,Sul,4300471,2079,0,0,0,0,0,Nenhum,0,0
ALOÂNDIA,GO,Centro-Oeste,5200506,2071,0,0,0,0,0,Nenhum,0,0
ALPERCATA,MG,Sudeste,3101805,7515,0,0,0,0,0,Nenhum,0,0
ALPESTRE,RS,Sul,4300505,7433,0,0,2,0,0,Um,2,26.9070361899637
ALPINÓPOLIS,MG,Sudeste,3101904,19846,0,1,0,0,1,Vários,2,10.0775975007558
ALTA FLORESTA,MT,Centro-Oeste,5100250,50189,5,1,3,0,2,Vários,11,21.9171531610512
ALTA FLORESTA D'OESTE,RO,Norte,1100015,25437,0,0,0,0,0,Nenhum,0,0
ALTAIR,SP,Sudeste,3500907,4109,0,0,0,0,0,Nenhum,0,0
ALTAMIRA,PA,Norte,1500602,111435,0,1,3,0,5,Vários,9,8.07645712747341
